epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202124,2021-06-14,460,GO,,52,state,641993,9024.94398,3525,18093,131,0.0282,7113540,False,False
202124,2021-06-14,452,MA,,21,state,301547,4238.4264,309,8567,23,0.0284,7114598,False,False
202124,2021-06-14,464,MG,,31,state,1684962,7913.34444,1862,43154,30,0.0256,21292666,False,False
202124,2021-06-14,458,MS,,50,state,315832,11241.99738,1387,7569,52,24,2809394,False,False
202124,2021-06-14,452,MT,,51,state,429557,12181.79807,1578,11466,49,0.0267,3526220,False,False
202124,2021-06-14,454,PA,,15,state,535640,6163.33813,1568,15005,33,28,8690745,False,False
202124,2021-06-14,460,PB,,25,state,361435,8948.01223,2575,8158,30,0.0226,4039277,False,False
202124,2021-06-14,460,PE,,26,state,520694,5414.52138,1117,16860,32,0.0324,9616621,False,False
202124,2021-06-14,453,PI,,22,state,285644,8704.73079,608,6265,25,0.0219,3281480,False,False
202124,2021-06-14,460,PR,,41,state,1152368,10005.93913,2689,28208,73,0.0245,11516840,False,False
202124,2021-06-14,467,RJ,,33,state,909341,5236.27262,3520,53015,17,0.0583,17366189,False,False
202124,2021-06-14,460,RN,,24,state,286577,8108.76119,2249,6508,35,0.0227,3534165,False,False
202124,2021-06-14,452,RO,,11,state,239067,13307.67175,955,5944,28,0.0249,1796460,False,False
202124,2021-06-14,451,RR,,14,state,107872,17090.50177,226,1680,1,0.0156,631181,False,False
202124,2021-06-14,462,RS,,43,state,1149424,10062.38919,690,29701,29,0.0258,11422973,False,False
202124,2021-06-14,460,SC,,42,state,1008059,13899.46532,1969,16006,42,0.0159,7252502,False,False
202124,2021-06-14,458,SE,,28,state,252753,10900.06046,902,5405,24,0.0214,2318822,False,False
202124,2021-06-14,476,SP,,35,state,3464158,7483.70688,5309,118213,92,0.0341,46289333,False,False
202124,2021-06-14,454,TO,,17,state,189136,11893.49083,884,3042,13,0.0161,1590248,False,False
202124,2021-06-13,454,AC,,12,state,84174,9410.48889,70,1712,5,0.0203,894470,False,False
202124,2021-06-13,463,AL,,27,state,203226,6063.65486,734,5002,18,0.0246,3351543,False,False
202124,2021-06-13,458,AM,,13,state,393492,9351.68122,314,13140,4,0.0334,4207714,False,False
202124,2021-06-13,451,AP,,16,state,113940,13221.57923,112,1762,6,0.0155,861773,False,False
202124,2021-06-13,465,BA,,29,state,1064747,7131.29128,2005,22513,88,0.0211,14930634,False,False
202124,2021-06-13,455,CE,,23,state,845411,9202.15001,4131,21379,0,0.0253,9187103,False,False
202124,2021-06-13,464,DF,,53,state,417279,13658.22092,1150,8955,18,0.0215,3055149,False,False
202124,2021-06-13,466,ES,,32,state,498530,12266.82139,683,11143,11,0.0224,4064052,False,False
202124,2021-06-13,459,GO,,52,state,638468,8975.39059,258,17962,13,0.0281,7113540,False,False
202124,2021-06-13,451,MA,,21,state,301238,4234.08322,221,8544,33,0.0284,7114598,False,False
202124,2021-06-13,463,MG,,31,state,1683100,7904.59964,4542,43124,252,0.0256,21292666,False,False
202124,2021-06-13,457,MS,,50,state,314445,11192.62731,915,7517,40,0.0239,2809394,False,False
202124,2021-06-13,451,MT,,51,state,427979,12137.0476,407,11417,27,0.0267,3526220,False,False
202124,2021-06-13,453,PA,,15,state,534072,6145.29594,128,14972,13,28,8690745,False,False
202124,2021-06-13,459,PB,,25,state,358860,8884.2632,2034,8128,33,0.0226,4039277,False,False
202124,2021-06-13,459,PE,,26,state,519577,5402.90607,1156,16828,48,0.0324,9616621,False,False
